ID,Series,Repeat,Ambient Humidity,Ambient Temperature,ECSt mAU,gH+,Leaf Temperature Differential,LEF,Light Intensity (PAR),NPQt,Phi2,PhiNO,PhiNPQ,PS1 Active Centers,PS1 Open Centers,PS1 Over Reduced Centers,PS1 Oxidized Centers,vH+,time,id?,Time of Day,User,Device ID,Label,Treatment,dayspostdrought,weight,Rating ,Rootbiomass,Shootbiomass,Species
3157297,Whole Data Set,1,34.15625,26.27,0.00013,2582.511,1.48,1.71,5.582,0.997,0.682,0.159,0.159,-0.118,-8.895,11.134,-1.239,0.336,12/2/22 14:27,1,14.46,Zachary Noel,31:f4:e8:3e,1,OEO-196,0,371.56,0,0.22,0.84,L. elongata OEO-196
3157298,Whole Data Set,1,34.87305,26.28,0.0001,633.385,1.43,1.24,4.231,1.294,0.652,0.152,0.196,1.444,0.99,-0.137,0.148,0.063,12/2/22 14:28,2,14.47166667,Zachary Noel,31:f4:e8:3e,2,NDF,0,351.7,0,0.95,3.44,control No-drought
3157299,Whole Data Set,1,35.74805,26.34,0.00009,118.956,1.19,1.95,5.379,0.191,0.806,0.163,0.031,1.254,0.945,0.052,0.003,0.011,12/2/22 14:28,3,14.48277778,Zachary Noel,31:f4:e8:3e,3,DF,0,374.18,0,0.21,1.05,control drought
3157300,Whole Data Set,1,36.00293,26.4,0.00017,873.882,-0.59,1.33,4.073,0.651,0.724,0.167,0.109,0.855,0.79,-0.009,0.219,0.149,12/2/22 14:29,4,14.49194444,Zachary Noel,31:f4:e8:3e,4,OEO-198,0,368.8,0,0.13,0.78,L. elongata OEO-198
3157301,Whole Data Set,1,36.39062,26.46,0.00012,732.77,0.47,1.72,5.718,1.032,0.67,0.162,0.168,-2.054,-0.156,1.316,-0.16,0.088,12/2/22 14:30,5,14.50138889,Zachary Noel,31:f4:e8:3e,5,CCH_F37_B,0,347.81,0,0.33,1.21,P. citrinum CCH_F37_B
3157302,Whole Data Set,1,36.82715,26.55,0.00011,-254861.127,-6.06,1.79,5.379,0.764,0.741,0.147,0.112,1.048,0.736,0.101,0.163,-28.035,12/2/22 14:30,6,14.51194444,Zachary Noel,31:f4:e8:3e,6,OEO-305,0,386.86,0,0.14,1.07,M. alpina OEO-305
3157303,Whole Data Set,1,37.08594,26.65,0.00009,227.084,-0.3,1.78,5.203,0.485,0.76,0.162,0.078,0.316,3.554,-3.268,0.714,0.02,12/2/22 14:31,7,14.52055556,Zachary Noel,31:f4:e8:3e,7,NVP5,0,385.9,0,0.22,1.24,M. elongata NVP
3157304,Whole Data Set,1,37.22656,26.76,0.00006,416.952,-3.47,1.85,5.21,0.337,0.788,0.159,0.054,2.048,0.314,0.357,0.329,0.025,12/2/22 14:31,8,14.52861111,Zachary Noel,31:f4:e8:3e,8,OEO-304,0,348.25,0,0.32,0.88,M. calciphila OEO-304
3157305,Whole Data Set,1,37.14355,26.92,0.00003,190.119,-0.45,2.24,6.345,0.108,0.783,0.196,0.021,1.064,-0.046,0.303,0.743,0.006,12/2/22 14:32,9,14.54138889,Zachary Noel,31:f4:e8:3e,9,NDF,0,362.57,0,0.62,3.1,control No-drought
3157306,Whole Data Set,1,36.86523,27.16,0.00007,188.044,-0.59,2.01,5.588,0.205,0.801,0.165,0.034,0.31,3.387,-3.501,1.115,0.013,12/2/22 14:33,10,14.55861111,Zachary Noel,31:f4:e8:3e,10,OEO-305,0,360.07,0,0.24,0.76,M. alpina OEO-305
3157307,Whole Data Set,1,36.58594,27.55,0.00011,98.86,-0.44,1.94,5.549,0.37,0.776,0.163,0.06,1.946,0.699,0.028,0.273,0.011,12/2/22 14:35,11,14.59166667,Zachary Noel,31:f4:e8:3e,11,DF,0,328.09,0,0.34,1.3,control drought
3157308,Whole Data Set,1,36.9541,27.68,0.00005,-1869.198,-0.51,1.46,4.506,0.786,0.72,0.157,0.123,1.096,0.194,0.313,0.494,-0.093,12/2/22 14:36,12,14.60055556,Zachary Noel,31:f4:e8:3e,12,OEO-198,0,368.5,0,0.22,1.02,L. elongata OEO-198
3157309,Whole Data Set,1,37.08496,27.81,0.00006,198.244,-0.64,2.25,6.071,0.158,0.822,0.153,0.024,1.865,0.35,0.395,0.255,0.012,12/2/22 14:36,13,14.60944444,Zachary Noel,31:f4:e8:3e,13,OEO-304,0,364.68,0,0.49,1.19,M. calciphila OEO-304
3157310,Whole Data Set,1,38.07422,28.04,0.00011,1923.262,-0.83,1.96,5.634,0.356,0.774,0.167,0.059,1.449,0.387,0.306,0.306,0.212,12/2/22 14:37,14,14.62694444,Zachary Noel,31:f4:e8:3e,14,OEO-196,0,381.42,0,0.21,0.84,L. elongata OEO-196
3157311,Whole Data Set,1,38.29004,28.19,0.00003,352.285,-1.4,1.78,5.287,0.13,0.748,0.223,0.029,1.257,-0.1,0.573,0.527,0.011,12/2/22 14:38,15,14.63722222,Zachary Noel,31:f4:e8:3e,15,NVP5,0,300.38,0,0.25,1.61,M. elongata NVP
3157312,Whole Data Set,1,37.9541,28.32,0.00006,246.993,-1.65,1.5,4.783,0.954,0.695,0.156,0.149,1.43,0.079,0.616,0.305,0.015,12/2/22 14:38,16,14.64611111,Zachary Noel,31:f4:e8:3e,16,CCH_F37_B,0,350.25,0,0.16,0.92,P. citrinum CCH_F37_B
3157313,Whole Data Set,1,37.06348,28.55,0.00581,0.365,-5.12,1.67,5.726,1.502,0.648,0.141,0.211,0.867,0.276,0.361,0.363,0.002,12/2/22 14:39,17,14.66083333,Zachary Noel,31:f4:e8:3e,17,OEO-305,0,357.39,0,0.29,0.98,M. alpina OEO-305
3157314,Whole Data Set,1,36.50781,28.65,0.00008,897.961,-2.36,1.93,5.379,0.302,0.796,0.157,0.047,1.45,0.483,0.261,0.256,0.072,12/2/22 14:40,18,14.67055556,Zachary Noel,31:f4:e8:3e,18,NDF,0,387.2,0,0.38,1.72,control No-drought
3157315,Whole Data Set,1,36.91113,28.76,0.00003,-6376.951,-7.09,1.74,4.943,0.283,0.782,0.17,0.048,1.782,0.329,0.259,0.411,-0.191,12/2/22 14:40,19,14.68083333,Zachary Noel,31:f4:e8:3e,19,CCH_F37_B,0,351.29,0,0.21,1.39,P. citrinum CCH_F37_B
3157316,Whole Data Set,1,36.99414,28.89,0.00009,463.024,-7.88,1.58,4.874,0.866,0.719,0.151,0.131,1.53,0.069,0.718,0.213,0.042,12/2/22 14:41,20,14.69055556,Zachary Noel,31:f4:e8:3e,20,OEO-304,0,345.04,0,0.23,1.1,M. calciphila OEO-304
3157317,Whole Data Set,1,36.14746,29.1,0.00002,-1394.776,-3.19,2.3,6.51,0.297,0.786,0.165,0.049,0.157,5.551,-1.424,-3.127,-0.028,12/2/22 14:42,21,14.70527778,Zachary Noel,31:f4:e8:3e,21,OEO-196,0,348.81,0,0.3,1.11,L. elongata OEO-196
3157318,Whole Data Set,1,35.8916,29.2,0.00007,1389.887,-2.67,2.15,5.987,0.216,0.798,0.166,0.036,2.716,0.151,0.628,0.221,0.097,12/2/22 14:42,22,14.71361111,Zachary Noel,31:f4:e8:3e,22,DF,0,380.69,0,0.29,0.95,control drought
3157319,Whole Data Set,1,35.13281,29.33,0.00004,491.489,-4.1,1.73,5.287,0.453,0.728,0.187,0.085,0.882,0.517,0.527,-0.044,0.02,12/2/22 14:43,23,14.72611111,Zachary Noel,31:f4:e8:3e,23,NVP5,0,414.23,0,0.29,0.65,M. elongata NVP
3157320,Whole Data Set,1,34.83691,29.4,0.00005,192.001,-2.73,1.61,4.503,0.535,0.794,0.135,0.072,0.998,0.321,0.218,0.462,0.01,12/2/22 14:44,24,14.73583333,Zachary Noel,31:f4:e8:3e,24,OEO-198,0,357.3,0,0.28,0.71,L. elongata OEO-198
3157321,Whole Data Set,1,32.70215,29.46,0.00005,396.531,-4.37,2.03,6.071,0.218,0.742,0.212,0.046,0.535,0.119,0.055,0.826,0.02,12/2/22 14:46,25,14.77083333,Zachary Noel,31:f4:e8:3e,25,OEO-198,0,380.56,0,0.23,1.25,L. elongata OEO-198
3157322,Whole Data Set,1,33.54102,29.42,0.00011,263.437,-7.19,1.48,4.595,0.815,0.717,0.156,0.127,1.46,0.169,0.554,0.277,0.029,12/2/22 14:46,26,14.78222222,Zachary Noel,31:f4:e8:3e,26,OEO-304,0,374.38,0,0.23,1.3,M. calciphila OEO-304
3157323,Whole Data Set,1,33.70996,29.43,0,-83.235,-8.1,1.89,5.203,0.466,0.808,0.131,0.061,0.305,2.441,-2.693,1.252,0,12/2/22 14:47,27,14.79138889,Zachary Noel,31:f4:e8:3e,27,NDF,0,394.64,0,0.79,2.67,control No-drought
